accuracy,loss,val_accuracy,val_loss
0.754884660243988,0.5047435164451599,0.7969245910644531,0.4284816086292267
0.8155252933502197,0.3959188461303711,0.8251984119415283,0.369997501373291
0.8405866622924805,0.35779595375061035,0.8440476059913635,0.3359747529029846
0.8505645394325256,0.33495140075683594,0.8540674448013306,0.3184151351451874
0.8560628294944763,0.32361429929733276,0.8627976179122925,0.31145694851875305
0.8616838455200195,0.3123795986175537,0.860019862651825,0.3083397448062897
0.8668139576911926,0.30383363366127014,0.8654761910438538,0.2994213402271271
0.8699190020561218,0.29809221625328064,0.8687499761581421,0.2932010591030121
0.8733554482460022,0.2906726002693176,0.8726190328598022,0.28518155217170715
0.8769022822380066,0.28289416432380676,0.8745039701461792,0.28545865416526794
0.8790991902351379,0.27928146719932556,0.8754960298538208,0.28319501876831055
0.8808541893959045,0.27322977781295776,0.8756944537162781,0.29021263122558594
0.8828792572021484,0.2703693211078644,0.8790674805641174,0.27766984701156616
0.8848919868469238,0.2669942080974579,0.8809523582458496,0.2738097310066223
0.8886843323707581,0.26051050424575806,0.8779761791229248,0.2794487476348877
