accuracy,loss,val_accuracy,val_loss
0.7354443073272705,0.5257933139801025,0.7611111402511597,0.49445733428001404
0.7707167267799377,0.4689095616340637,0.7829365134239197,0.43697378039360046
0.7956799268722534,0.42371708154678345,0.8142856955528259,0.39793112874031067
0.817341685295105,0.38590875267982483,0.82192462682724,0.3709564805030823
0.8298723697662354,0.36674219369888306,0.8326388597488403,0.35835200548171997
0.8352356553077698,0.35541146993637085,0.8422619104385376,0.3426569402217865
0.8408198356628418,0.3476504385471344,0.8500992059707642,0.33117449283599854
0.8426730632781982,0.34312933683395386,0.8402777910232544,0.3446897864341736
0.84604811668396,0.33680829405784607,0.8497023582458496,0.33971652388572693
0.848122239112854,0.33361107110977173,0.8536706566810608,0.32125672698020935
0.8506136536598206,0.32904645800590515,0.848809540271759,0.3248741924762726
0.8507118225097656,0.32779398560523987,0.8557539582252502,0.3170260488986969
0.8514727354049683,0.32593095302581787,0.8574404716491699,0.3144032657146454
0.8538168668746948,0.322725772857666,0.8583333492279053,0.31712019443511963
0.8554860353469849,0.31956642866134644,0.8623015880584717,0.3057476282119751
