channel_1,channel_2
-0.3463382,-0.03393699
-0.3575818,-0.015947264
-0.33413088,0.003969933
-0.35661805,0.0065398933
-0.32738474,0.034166973
-0.35276312,0.018425964
-0.33637962,0.038343154
-0.33445215,0.04733802
-0.3418408,0.029669542
-0.30200636,0.04380432
-0.37011033,0.04733802
-0.29847267,0.05826035
-0.3505144,0.08042627
-0.32577848,0.09423981
-0.28562286,0.07914129
-0.34151953,0.11544198
-0.2525346,0.105162136
-0.32385105,0.08524494
-0.25767455,0.10965957
-0.30682504,0.093597315
-0.2891566,0.10355591
-0.25831702,0.11608447
-0.32513604,0.12475809
-0.23711485,0.12829179
-0.32481477,0.14274782
-0.23486613,0.1363229
-0.27694926,0.15559761
-0.25831702,0.16009505
-0.21816139,0.14531778
-0.27052435,0.18547343
-0.17093836,0.1732661
-0.26570567,0.195432
-0.17864825,0.19029209
-0.22747749,0.18290345
-0.22940497,0.18161847
-0.18314566,0.15591887
-0.25703204,0.21149428
-0.14941494,0.19061334
-0.22201632,0.19800197
-0.16033727,0.23012649
-0.17929073,0.2259503
-0.18153945,0.23687263
-0.13110398,0.22241661
-0.2233013,0.24779497
-0.14363252,0.24169132
-0.21880387,0.277992
-0.17190209,0.2664272
-0.17382956,0.2657847
-0.2040266,0.32360885
-0.14363252,0.28088325
-0.21944636,0.3293912
-0.13881385,0.3168627
-0.20659655,0.3284275
-0.16965337,0.3554121
-0.16162224,0.34320477
-0.20820278,0.37372306
-0.12500031,0.33581614
-0.2239438,0.393319
-0.14266878,0.36280072
-0.17158085,0.3753293
-0.18924932,0.38143295
-0.15134239,0.35669708
-0.21912512,0.41355747
-0.14427502,0.38657287
-0.18539439,0.42833474
-0.15359113,0.41387868
-0.14620247,0.4373296
-0.15808856,0.41805488
-0.13303144,0.42576477
-0.17190209,0.46270797
-0.14748746,0.41484243
-0.17896947,0.4578893
-0.15551858,0.43090472
-0.15359113,0.45628306
-0.15102117,0.460138
-0.1262853,0.46688417
-0.12500031,0.4816614
-0.105083115,0.4700966
-0.11729044,0.50800353
-0.09865822,0.47909147
-0.114399225,0.49001378
-0.093197055,0.49001378
-0.091912076,0.4922625
-0.079704754,0.48615888
-0.054005142,0.4912988
-0.062036272,0.50575477
-0.022201883,0.48840755
-0.04822273,0.5163559
-0.019631919,0.50768226
-0.011279547,0.49547496
-0.016419468,0.5263145
0.008316404,0.50607604
0.014420061,0.48840755
0.038513444,0.5214958
0.032409783,0.49354747
0.0610006,0.5067186
0.04076216,0.5250295
0.07449289,0.50832474
0.0738504,0.541413
0.06806799,0.5510503
0.10083499,0.54751664
0.07288667,0.5542628
0.14388184,0.5394856
0.11914597,0.5240658
0.1699027,0.53306067
0.16797522,0.5063973
0.14966425,0.5195683
0.23158175,0.5176409
0.1487005,0.52021086
0.22387187,0.5417342
0.18596494,0.53402436
0.20009974,0.5539416
0.2540689,0.5372368
0.19849351,0.5484804
0.28137472,0.53241813
0.23704292,0.5240658
0.30354062,0.51603466
0.27559233,0.56004524
0.30868053,0.5378793
0.33984134,0.5308119
0.2797685,0.5963459
0.3889918,0.49772367
0.29422453,0.5851024
0.38674307,0.5391643
0.37292957,0.51860464
0.37517828,0.572895
0.45677453,0.49290502
0.3780695,0.5594027
0.4898628,0.5092885
0.40280536,0.5497654
0.46898186,0.5288845
0.4779767,0.51860464
0.43011117,0.55747527
0.50464004,0.51250094
0.43107492,0.56261516
0.5007851,0.54462546
0.46416318,0.5661489
0.508495,0.5577965
0.5181323,0.5645427
0.5078525,0.5433405
0.5663191,0.53306067
0.49660894,0.5613302
0.57627773,0.52759945
0.5390133,0.57964116
0.55314803,0.5632577
0.58944875,0.5594027
0.5435107,0.59216976
0.61482716,0.561009
0.5836664,0.572895
0.6366718,0.5484804
0.62253696,0.52021086
0.59651613,0.53466684
0.65434027,0.5131434
0.58238137,0.5391643
0.6469516,0.53049064
0.63056815,0.5205321
0.6270344,0.5394856
0.6861435,0.5028636
0.6353868,0.5176409
0.69353217,0.5070398
0.65851647,0.51603466
0.67265123,0.5250295
0.69449586,0.50414854
0.67265123,0.49451122
0.70702446,0.511216
0.6819673,0.49836615
0.723408,0.47748524
0.6957809,0.5208533
0.7102369,0.47812772
0.71120065,0.52117455
0.69224715,0.50960976
0.72919035,0.48326764
0.7012421,0.5067186
0.75039256,0.45692557
0.7144131,0.50382733
0.7349728,0.45724678
0.7606724,0.4729878
0.70573944,0.4951537
0.771916,0.4524281
0.74685884,0.4893713
0.75232005,0.44921565
0.7802684,0.45114315
0.7529625,0.46849036
0.77641344,0.44471824
0.786372,0.46142298
0.78958446,0.47202408
0.79633063,0.45339185
0.7979368,0.46110174
0.79633063,0.44311202
0.8050042,0.44696695
0.7944031,0.45499808
0.8078954,0.4296197
0.80661047,0.4488944
0.81881773,0.43218967
0.8207452,0.44857317
0.8156053,0.44311202
0.8448386,0.43218967
0.8075742,0.4517856
0.8596159,0.43058345
0.84001994,0.4238373
0.84419614,0.42576477
0.88692176,0.42351606
0.8461236,0.41130874
0.9026627,0.42351606
0.87021697,0.39203402
0.89463156,0.39910144
0.8904554,0.40488386
0.884673,0.37918425
0.9155125,0.38978532
0.8866005,0.36697692
0.92996854,0.39556772
0.8936679,0.37982672
0.9431396,0.3647282
0.916155,0.39010656
0.9245074,0.36023077
0.9572744,0.38464537
0.8984865,0.38143295
0.9865077,0.33388868
0.90940887,0.36023077
0.96819675,0.3293912
0.9649843,0.32071763
0.91776127,0.3595883
1.0,0.3248938
0.8972016,0.36665568
0.9893989,0.34191978
0.9306111,0.3326037
